expression,meaning,sentence_translation
鏡,Spiegel,"Ich sehe mich im Spiegel."
悲しむ,trauern / bedauern,"Ich trauere über den Abschied eines Freundes."
ノック,klopfen,"Ich klopfe an die Zimmertür."
固い,fest / hart,"Dieses Brot ist hart."
美術館,Kunstmuseum,"Ich habe Gemälde im Kunstmuseum gesehen."
美人,schöne Frau,"Sie ist eine wirklich schöne Frau."
美容院,Friseursalon,"Ich lasse mir im Friseursalon die Haare schneiden."
よろしく,angenehm / bitte,"Ich bitte um Ihre Kooperation."
博物館,Museum,"Ich lerne Geschichte im Museum."
開催,Veranstaltung,"Ein Meeting wird abgehalten."
特徴,Merkmal,"Das Merkmal dieses Produkts ist seine Leichtigkeit."
許す,verzeihen / erlauben,"Ich habe seinen Fehler verziehen."
がらがら,leer,"Der Zug ist leer."
免許証,Führerschein,"Bitte zeigen Sie Ihren Führerschein vor."
教師,Lehrer,"Der Lehrer bereitet den Unterricht vor."
教授,Professor,"Der Professor hat eine neue Forschung vorgestellt."
伝える,übermitteln / mitteilen,"Ich habe ihm die Nachricht übermittelt."
ぎらぎら,glitzernd / blendend,"Die Sonne strahlt glitzernd."
鳥,Vogel,"Ich habe im Park Vögel gesehen."
鳴る,erklingen / klingeln,"Das Telefon klingelt."
鳴く,tönen / schreien (bei Tieren),"Die Vögel singen."
声,Stimme,"Ihre Stimme ist wunderschön."
そっち,dorthin / dort,"Lass uns dorthin gehen."
卵,Ei,"Ich habe zum Frühstück ein Ei gegessen."
犬,Hund,"Ein Hund spielt im Garten."
馬,Pferd,"Ich habe auf der Weide Pferde gesehen."
駐車場,Parkplatz,"Der Parkplatz ist voll."
ピンポン,Tischtennis,"Lass uns zusammen Tischtennis spielen."
騒ぐ,Lärm machen / laut sein,"Die Kinder machen Lärm."
刺す,stechen,"Ich wurde von einer Mücke gestochen."
刺身,Sashimi,"Ich mag Sashimi am liebsten von der japanischen Küche."
激しい,intensiv / heftig,"Es regnet heftig."
ぺこぺこ,sehr hungrig,"Ich bin sehr hungrig."
驚く,sich erschrecken / erstaunen,"Ich war von dieser Nachricht überrascht."
倒れる,umfallen / zusammenbrechen,"Ein Baum ist durch den Sturm umgefallen."
倒す,umwerfen / besiegen,"Er hat den Gegner besiegt."
傾向,Tendenz / Neigung,"In letzter Zeit gibt es eine Tendenz zu heißen Tagen."
ぺらぺら,fließend,"Sie spricht fließend Englisch."
柔道,Judō,"Ich lerne Judō."
柔らかい,weich,"Dieses Brot ist sehr weich."
柔らか,sanft / weich,"Ich benutze sanfte Stoffe."
主張,Behauptung / Standpunkt,"Ich denke, seine Behauptung ist richtig."
レインコート,Regenmantel,"Ich ziehe einen Regenmantel an, wenn ich rausgehe."
引っ張る,ziehen,"Er zieht an einem Seil."
突き当たる,anstoßen / aufprallen,"Wenn du dieser Straße geradeaus folgst, stößt du darauf."
突き当たり,Ende (einer Straße),"Am Ende der Straße gibt es ein kleines Geschäft."
アイス,Eis,"Ich esse an heißen Tagen gerne Eis."
弾く,spielen (Instrumente),"Er spielt Klavier."
丸い,rund,"Der Mond ist rund."
丸,Kreis,"Bitte zeichne einen Kreis auf das Papier."
攻撃,Angriff,"Das Team hat den Angriff gestartet."
絶対に,auf jeden Fall / absolut,"Bitte verrate dieses Geheimnis auf keinen Fall."
消防車,Feuerwehrfahrzeug,"Die Feuerwehr fährt zum Brandort."
嫌,unangenehm / widerwillig,"Ich möchte keine unangenehmen Dinge tun."
大嫌い,hassen,"Ich hasse Insekten."
ウィスキー,Whisky,"Ich trinke ein wenig Whisky."
大抵,meistens,"Meistens koche ich zu Hause."
大勢,viele Leute,"Viele Leute haben sich in der Halle versammelt."
姿,Gestalt / Erscheinung,"Ich habe ihre Gestalt gesehen."
姿勢,Haltung,"Seine Haltung ist sehr gut."
エアメール,Luftpost,"Ich habe den Brief per Luftpost verschickt."
怖い,gruselig / beängstigend,"Der Film war sehr gruselig."
糸,Faden,"Ich fädele den Faden in die Nadel ein."
孫,Enkel / Enkelkind,"Die Großmutter spricht liebevoll mit ihrem Enkel."
シャープペンシル,Druckbleistift,"Bitte schreibe mit dem Druckbleistift."
木綿,Baumwolle,"Dieses Hemd besteht aus Baumwolle."
偉い,großartig / ehrenwert / angesehen,"Er ist eine sehr ehrenwerte Person."
爪,Fingernagel / Kralle,"Ich habe vergessen, meine Fingernägel zu schneiden."
机,Schreibtisch / Tisch,"Es liegt ein Buch auf dem Schreibtisch."
セロテープ,transparentes Klebeband,"Bitte benutze das transparente Klebeband."
棚,Regal,"Ich habe die Bücher ins Regal gestellt."
本棚,Bücherregal,"Das Bücherregal ist voll."
方針,Politik / Richtlinie,"Die Firmenpolitik hat sich geändert."
釣る,fischen / angeln,"Ich habe einen Fisch im See gefangen."
やけど,Verbrennung,"Bitte pass auf, dass du dich nicht verbrennst."
お釣り,Wechselgeld,"Vergiss dein Wechselgeld nicht."
鍵,Schlüssel,"Ich habe meinen Schlüssel verloren."
鍋,Kochtopf,"Ich werde Suppe im Kochtopf machen."
寿司,Sushi,"Lass uns Sushi essen gehen."
アイスコーヒー,Eiskaffee,"Es ist heiß, deshalb trinke ich Eiskaffee."
泥棒,Dieb,"Der Dieb wurde gefasst."
沸く,sieden / kochen,"Das Wasser ist gekocht."
沸かす,aufkochen,"Bitte koche das Wasser auf."
洗濯機,Waschmaschine,"Wir haben eine neue Waschmaschine gekauft."
洗濯,Wäsche,"Ich habe die Wäsche erledigt."
濡れる,nass werden,"Meine Kleidung wurde durch den Regen nass."
喫茶店,Café,"Ich habe Kaffee in einem Café getrunken."
怠ける,faulenzen / nachlässig sein,"Du darfst nicht bei der Arbeit faulenzen."
一生懸命,mit ganzer Kraft / eifrig,"Ich werde eifrig lernen."
休憩,Pause,"Lass uns eine kleine Pause machen."
天井,Decke (eines Raumes),"Die Decke ist sehr hoch."
納豆,Natto (fermentierte Sojabohnen),"Natto ist ein traditionelles japanisches Essen."
化粧,Make-up,"Sie trägt Make-up."
畑,Feld / Acker,"Auf dem Feld werden Gemüse angebaut."
炊く,kochen (Reis),"Ich koche gerade Reis."
ウェートレス,Kellnerin,"Die Kellnerin in diesem Restaurant ist freundlich."
自炊,selbst kochen,"Ich koche immer selbst."
灰皿,Aschenbecher,"Bitte benutze den Aschenbecher."
灰,Asche,"Die Asche fliegt herum."
灰色,Grau,"Der Himmel ist grau."
西暦,christliche Jahreszählung,"Es ist das Jahr 2025 nach christlicher Zeitrechnung."
毛,Haar / Fell,"Es liegt Katzenhaar herum."
髪,Haar,"Du hast wirklich lange Haare."
舌,Zunge,"Zeig mir deine Zunge."
くし,Kamm,"Ich kämme mein Haar mit einem Kamm."
臭い,stinkend / übel riechend,"Dieser Raum riecht unangenehm."
匂い,Duft / Geruch,"Es riecht nach Blumen."
居る,sein (für Lebewesen),"Da ist jemand."
履く,"anziehen (Schuhe, Hose)","Zieh bitte deine Schuhe an."
クリーニング,Reinigung,"Ich habe Kleidung zur Reinigung gebracht."
扇風機,Ventilator,"Im Sommer benutze ich den Ventilator."
豚,Schwein,"Es gibt Schweine auf dem Bauernhof."
豚肉,Schweinefleisch,"Ich mag Schweinefleisch."
ごちそう,Festmahl / Leckerei,"Vielen Dank für das köstliche Essen."
鶏,Huhn,"Das Huhn läuft im Garten."
腕時計,Armbanduhr,"Ich habe eine neue Armbanduhr gekauft."
お菓子,Süßigkeiten / Gebäck,"Ich habe Süßigkeiten gemacht."
お辞儀,Verbeugung,"Ich habe mich vor dem Lehrer verbeugt."
ごちそうする,jemanden bewirten / einladen (zum Essen),"Ich habe meinen Freund zum Abendessen eingeladen."
寝坊,Verschlafen,"Heute Morgen habe ich verschlafen."
旗,Fahne / Flagge,"Ich habe die Flagge des Landes gesehen."
鉛筆,Bleistift,"Bitte schreiben Sie mit einem Bleistift."
万年筆,Füllfederhalter,"Ich benutze einen Füllfederhalter."
こぼれる,überlaufen / verschüttet werden,"Das Wasser ist verschüttet."
箱,Kiste / Schachtel,"Was ist in dieser Kiste?"
本箱,Bücherregal,"Ich habe ein Buch aus dem Bücherregal genommen."
手袋,Handschuh,"Es ist kalt, also habe ich Handschuhe angezogen."
袋,Tasche / Beutel,"Bitte legen Sie die Äpfel in diesen Beutel."
財布,Geldbörse / Portemonnaie,"Ich habe meine Geldbörse verloren."
毛布,Wolldecke,"Ich habe mit einer Wolldecke geschlafen."
布団,Futon / Bettzeug,"Ich habe den Futon ausgebreitet und geschlafen."
小包,Paket,"Ein Paket ist angekommen."
ざあざあ,rauschend (Regen / Wasser),"Es regnet in Strömen."
包む,einwickeln / einpacken,"Ich habe das Geschenk eingepackt."
飾る,dekorieren / schmücken,"Ich habe das Zimmer mit Blumen dekoriert."
手帳,Notizbuch / Terminplaner,"Ich habe den Termin in mein Notizbuch geschrieben."
電話帳,Telefonbuch,"Ich habe die Nummer im Telefonbuch nachgeschlagen."
ジャガイモ,Kartoffel,"Ich habe die Kartoffeln gebraten."
牛乳,Milch,"Ich trinke jeden Morgen Milch."
玄関,Eingang / Flur,"Zieh die Schuhe im Flur aus."
眼鏡,Brille,"Ich trage eine Brille."
眠い,schläfrig / müde,"Ich bin heute sehr müde."
ソファー,Sofa,"Ich habe auf dem Sofa geschlafen."
眠る,schlafen,"Das Baby schläft tief und fest."
封筒,Briefumschlag,"Ich habe den Brief in einen Umschlag gelegt."
出掛ける,ausgehen,"Ich gehe mit meinem Freund aus."
掛かる,dauern / kosten,"Diese Arbeit dauert viel Zeit."
たばこ,Zigarette,"Bitte rauchen Sie hier nicht."
掛け算,Multiplikation,"Bitte erklären Sie mir die Multiplikation."
拍手,Applaus,"Bitte applaudieren Sie."
掃除,Reinigung / Putzen,"Ich habe das Zimmer geputzt."
掃く,fegen,"Ich habe den Boden gefegt."
ちょうど,genau / gerade,"Es ist genau drei Uhr."
掃除機,Staubsauger,"Ich habe das Zimmer mit dem Staubsauger gereinigt."
握る,greifen / halten,"Ich habe ihre Hand gehalten."
握手,Handschlag,"Ich habe ihm die Hand geschüttelt."
迎える,abholen / willkommen heißen,"Ich habe meinen Freund am Bahnhof abgeholt."
ちょっと,ein bisschen / kurz,"Warten Sie bitte einen Moment."
幾つ,wie viele / wie alt,"Wie viele sind das?"
幾ら,wie viel / wie teuer,"Wie viel kostet das?"
冗談,Witz / Scherz,"Das war nur ein Scherz."
つく,angehen (Licht) / angebracht sein,"Das Licht ist an."
穴,Loch / Öffnung,"Es gibt ein Loch in dieser Kleidung."
寂しい,einsam / traurig,"Ich fühle mich allein."
丁寧,höflich / sorgfältig,"Bitte erklären Sie es höflich."
可哀相,bedauernswert / arm,"Er ist in einer bedauerlichen Situation."
てんぷら,Tempura,"Tempura ist köstlich."
怪我,Verletzung,"Er hat sich verletzt."
我慢,Geduld / Selbstkontrolle,"Es ist schwierig, Geduld zu haben."
幼稚園,Kindergarten,"Meine Tochter geht in den Kindergarten."
とんとん,klopfend / leicht,"Er klopfte an die Tür."
日陰,Schatten,"Bitte ruhen Sie sich im Schatten aus."
随分,ziemlich / sehr,"Es ist heute ziemlich heiß."
頑張る,sich bemühen / sein Bestes geben,"Ich werde mich für die Prüfung anstrengen."
にんじん,Karotte,"Bitte schneide die Karotten."
この頃,in letzter Zeit,"Ich bin in letzter Zeit sehr beschäftigt."
消防署,Feuerwache,"Ich habe die Feuerwehr angerufen."
尋ねる,fragen / erkundigen,"Ich habe ihn nach dem Weg gefragt."
缶詰,Konserve,"Bitte öffne die Konserve."
ぬるい,lauwarm,"Ich habe lauwarmen Tee getrunken."
缶,Dose,"Ich habe die Dose zum Recycling gebracht."
豆腐,Tofu,"Tofu ist gut für die Gesundheit."
床,Boden,"Ich habe den Boden gereinigt."
パーセント,Prozent,"Es gibt einen 20-Prozent-Rabatt im Sale."
床屋,Friseur,"Ich habe mir beim Friseur die Haare schneiden lassen."
畳,Tatami-Matte,"Japanische Häuser haben Tatami-Matten."
畳む,zusammenlegen,"Ich habe die Wäsche zusammengelegt."
干す,trocknen / aufhängen,"Bitte hänge die Wäsche zum Trocknen auf."
ひざ,Knie,"Mein Knie tut weh."
帽子,Hut,"Bitte setzen Sie einen Hut auf."
是非,unbedingt / auf jeden Fall,"Kommen Sie unbedingt vorbei."
敬語,Höflichkeitssprache,"Lassen Sie uns Höflichkeitssprache verwenden."
尊敬,Respekt,"Er wird respektiert."
ひじ,Ellenbogen,"Legen Sie Ihre Ellenbogen nicht auf den Tisch."
敷く,auslegen / ausbreiten,"Ich habe die Futons ausgelegt."
雷,Donner / Blitz,"Gestern Nacht hat es gedonnert."
零,Null,"Wir fangen bei Null an."
仕舞う,verstauen / wegräumen,"Ich habe die Werkzeuge verstaut."
ひも,Schnur,"Ich habe die Schnürsenkel gebunden."
踊る,tanzen,"Sie ist gut im Tanzen."
踊り,Tanz,"Ich lerne traditionellen japanischen Tanz."
踏む,treten,"Ich habe versehentlich auf seinen Fuß getreten."
踏切,Bahnübergang,"Ich habe den Bahnübergang überquert."
まく,streuen / säen,"Ich habe Samen gestreut."
蹴る,treten,"Er hat den Ball getreten."
食堂,Kantine / Speisesaal,"Ich habe in der Schulkantine zu Mittag gegessen."
猫,Katze,"Eine Katze ist im Garten."
文章,Text / Satz,"Bitte lesen Sie diesen Text."
やかん,Wasserkessel,"Ich habe Wasser im Kessel gekocht."
丈夫,stabil / robust,"Dieser Tisch ist stabil."
又,wieder / außerdem,"Lass uns wiedersehen."
お祖父さん,Großvater,"Ich bin mit meinem Großvater spazieren gegangen."
ようこそ,willkommen,"Willkommen in meinem Haus."
祖父,Großvater,"Mein Großvater ist gesund."
祖母,Großmutter,"Ich lebe mit meiner Großmutter zusammen."
邪魔,Hindernis / Störung,"Bitte störe mich nicht."
風邪薬,Erkältungsmedizin,"Ich habe Erkältungsmedizin eingenommen."
ウェーター,Kellner,"Ich habe beim Kellner bestellt."
風呂屋,Badehaus,"Ich bin mit meinem Freund ins Badehaus gegangen."
風呂,Bad / Badezimmer,"Ich nehme jeden Abend ein Bad."
昭和,Showa-Ära,"Ich habe einen Film aus der Showa-Ära gesehen."
紫,lila / violett,"Die lila Blumen sind schön."
そんなに,so sehr / derart,"Es ist nicht so schwierig."
紅茶,Schwarztee,"Möchten Sie eine Tasse Schwarztee?"
梅雨,Regenzeit,"Die Regenzeit ist sehr feucht."
桃,Pfirsich,"Ich habe einen süßen Pfirsich gegessen."
遭う,erleben / begegnen,"Bitte seien Sie vorsichtig, um keinen Unfall zu erleben."
枕,Kissen,"Dieses Kissen ist weich und angenehm."
嘘,Lüge,"Du sollst nicht lügen."
遠慮,Zurückhaltung,"Bitte bedienen Sie sich ohne Zurückhaltung."
叱る,schimpfen,"Die Mutter hat das Kind ausgeschimpft."
傘,Regenschirm,"Ich nehme an regnerischen Tagen einen Regenschirm mit."
お嬢さん,Fräulein / junge Dame,"Wie alt ist Ihre Tochter?"
年賀状,Neujahrskarte,"Ich habe Neujahrskarten verschickt."
賑やか,lebhaft / belebt,"Diese Stadt ist immer lebhaft."
蚊,Mücke,"Im Sommer gibt es viele Mücken."
拭く,wischen,"Bitte wischen Sie den Tisch ab."
挨拶,Begrüßung,"Ich habe meinen Nachbarn begrüßt."
伴う,mit sich bringen,"Diese Arbeit bringt Gefahren mit sich."
巻く,wickeln,"Ich habe einen Schal um den Hals gewickelt."
靴,Schuhe,"Ich habe neue Schuhe gekauft."
靴下,Socken,"Ich habe vergessen, Socken anzuziehen."
磨く,polieren / putzen,"Ich putze meine Zähne jeden Abend."
歯磨き,Zähneputzen,"Ich benutze Zahnpasta."
廊下,Flur / Gang,"Bitte rennen Sie nicht im Flur."
瓶,Flasche,"Ich habe Wasser in die Flasche gefüllt."
褒める,loben,"Der Lehrer hat mich gelobt."
元旦,Neujahrsmorgen,"Am Neujahrsmorgen gehe ich zum Schrein."
袖,Ärmel,"Die Ärmel sind schmutzig."
長袖,Langarm,"Ich habe ein langärmeliges Hemd getragen."
半袖,kurzärmelig,"Heute ist kurzärmelige Kleidung perfekt."
馬鹿,dumm / idiotisch,"Sag bitte keine dummen Sachen."
凄い,erstaunlich / großartig,"Die Aussicht ist großartig."
剃る,rasieren,"Ich habe mir den Bart rasiert."
喧嘩,Streit,"Die Geschwister haben sich gestritten."
叩く,klopfen,"Ich habe an die Tür geklopft."
噛む,kauen / beißen,"Der Hund kaut auf einem Knochen."
味噌汁,Misosuppe,"Ich habe Misosuppe zum Frühstück getrunken."
姪,Nichte,"Meine Nichte ist zu Besuch gekommen."
苺,Erdbeere,"Die Erdbeeren sind süß und lecker."
茄子,Aubergine,"Ich habe die Auberginen gegrillt."
逢う,treffen,"Ich habe einen alten Freund nach langer Zeit getroffen."
椅子,Stuhl,"Dieser Stuhl ist sehr bequem."
痩せる,abnehmen,"Sie hat durch eine Diät abgenommen."
箸,Essstäbchen,"Du bist gut darin, Essstäbchen zu benutzen."
糊,Kleber,"Ich habe das Papier mit Kleber befestigt."
醤油,Sojasauce,"Ich habe Sojasauce zum Gericht hinzugefügt."
鋏,Schere,"Diese Schere schneidet sehr gut."
鞄,Tasche,"Ich habe mir eine neue Tasche gekauft."
顎,Kinn,"Mein Kinn tat weh."
飴,Zuckerbonbon,"Ich gab dem Kind ein Bonbon."
石鹸,Seife,"Bitte waschen Sie Ihre Hände mit Seife."
一時,eine Stunde / vorübergehend,"Ich mache eine einstündige Pause."
月日,Tage und Monate / Zeit,"Die Zeit vergeht schnell."
金もうけ,Geld verdienen,"Ich hörte von einer Möglichkeit, Geld zu verdienen."
先に,zuerst / vorher,"Bitte gehen Sie zuerst."
先日,neulich / vor Kurzem,"Wir haben uns neulich getroffen."
今日,heute,"Es ist heute heiß, nicht wahr?"
今ごろ,zu dieser Zeit / jetzt,"Was machst du wohl gerade jetzt?"
ケース,Fall / Gehäuse,"Bitte legen Sie das in dieses Gehäuse."
今にも,jederzeit / bald,"Es sieht aus, als würde es jeden Moment regnen."
今に,früher oder später,"Das wirst du früher oder später verstehen."
行き来,hin und her gehen / pendeln,"Er pendelt häufig hin und her."
行,Zeile / Reise,"Ich lese diese Zeile."
帰す,zurückschicken,"Ich brachte ihn nach Hause zurück."
大いに,sehr / viel,"Dieses Problem ist von großer Bedeutung."
大げさ,übertrieben,"Er erzählt immer übertrieben."
イメージ,Image / Vorstellung,"Dieses Image ist gut, nicht wahr?"
大水,Überschwemmung,"Eine Überschwemmung hat das Haus getroffen."
水中,unter Wasser,"Es macht Spaß, unter Wasser zu schwimmen."
小,klein,"Ein kleines Problem ist aufgetreten."
少なくとも,mindestens,"Mindestens zehn Personen werden teilnehmen."
少々,ein wenig,"Bitte warten Sie einen Moment."
上がる,steigen,"Der Fahrstuhl steigt."
上がる,steigen,"Die Aktienkurse sind gestiegen."
せい,Schuld / Ursache,"Wegen ihm habe ich mich verspätet."
上,oben,"Bitte schauen Sie nach oben."
下さる,geben (höflich),"Der Lehrer hat mir ein Buch gegeben."
下水,Abwasser,"Die Abwasserentsorgung ist notwendig."
上下,oben und unten,"Dieses Teil bewegt sich nach oben und unten."
上下,oben und unten / Hierarchie,"Die Hierarchie ist streng."
下,unten,"Unter dem Tisch ist eine Katze."
左右,links und rechts,"Bitte überprüfen Sie links und rechts."
いつも,immer,"Vielen Dank, wie immer."
四方,vier Seiten,"Das Tal ist von vier Seiten von Bergen umgeben."
方々,viele Richtungen / viele Leute,"Ich habe Informationen aus verschiedenen Richtungen gesammelt."
大人,Erwachsener,"Er wirkt sehr erwachsen."
外出,Ausgang,"Ich gehe am Nachmittag aus."
内,innen,"Ein Gedanke, den ich in mir trage."
週休,Wochentage frei,"Wir haben eine 5-Tage-Woche."
一体,was in aller Welt,"Was ist hier bloß passiert?"
きっかけ,Anlass / Auslöser,"Der Auslöser war reiner Zufall."
出力,Ausgabe,"Dieser Drucker gibt schnell aus."
火力,Feuerkraft,"Feuerkraftwerke sind wichtig."
水力,Wasserkraft,"Wir nutzen Wasserkraft."
口げんか,Wortgefecht,"Die Geschwister hatten ein Wortgefecht."
大手,Großunternehmen,"Ich habe bei einem Großunternehmen angefangen."
足下,am Boden / zu Füßen,"Bitte achten Sie auf den Boden."
火山,Vulkan,"Der Vulkan ist ausgebrochen."
すっかり,völlig / ganz,"Ich hatte es völlig vergessen."
